irsttNm,cmpnyNm,indutyNm,indutyCode
센텀시티일반산업단지,(재)부산극동방송,라디오 방송업,
센텀시티일반산업단지,(재)부산정보산업진흥원,전기ㆍ전자공학 연구개발업,
센텀시티일반산업단지,(재)부산창조경제혁신센터,경영 컨설팅업,
센텀시티일반산업단지,(재)부산테크노파크,기타 공학 연구개발업,
센텀시티일반산업단지,(재)지역경제분석연구원,경제 및 경영학 연구개발업,
센텀시티일반산업단지,(재)한국건설생활환경시험연구원,"기타 기술 시험, 검사 및 분석업",
센텀시티일반산업단지,(재)한국환경조사평가원,환경 관련 엔지니어링 서비스업,
센텀시티일반산업단지,(전선영),비주거용 건물 임대업,
센텀시티일반산업단지,(전유정),비주거용 건물 임대업,
센텀시티일반산업단지,(정남진),비주거용 건물 임대업,
센텀시티일반산업단지,(정수열),비주거용 건물 임대업,
센텀시티일반산업단지,(정우식),비주거용 건물 임대업,
센텀시티일반산업단지,(정혜숙),비주거용 건물 임대업,
센텀시티일반산업단지,(조광숙),비주거용 건물 임대업,
센텀시티일반산업단지,(조남원),비주거용 건물 임대업,
센텀시티일반산업단지,(조승현),비주거용 건물 임대업,
센텀시티일반산업단지,(주 )가스엔텍,기타 엔지니어링 서비스업,
센텀시티일반산업단지,(주) 금륜,기타 산업 회사 본부,
센텀시티일반산업단지,(주) 포유시스템,응용 소프트웨어 개발 및 공급업,
센텀시티일반산업단지,(주)3엠프론티어,비주거용 건물 임대업,
센텀시티일반산업단지,(주)HS프롭텍,시스템 소프트웨어 개발 및 공급업,
센텀시티일반산업단지,(주)KNN,기타 부동산 임대업 외 18 종,
센텀시티일반산업단지,(주)MBI컨소싱그룹,경영 컨설팅업,
센텀시티일반산업단지,(주)SBS,지상파 방송업,
센텀시티일반산업단지,(주)iKNN,포털 및 기타 인터넷 정보매개 서비스업 외 3 종,
센텀시티일반산업단지,(주)가가건축사사무소,건축설계 및 관련 서비스업,
센텀시티일반산업단지,(주)가나,"패션, 섬유류 및 기타 전문 디자인업",
센텀시티일반산업단지,(주)가디언,제품 디자인업,
센텀시티일반산업단지,(주)가람디자인,광고 대행업 외 1 종,
센텀시티일반산업단지,(주)가스팩,기타 엔지니어링 서비스업,
센텀시티일반산업단지,(주)가인테크,기타 엔지니어링 서비스업 외 1 종,
센텀시티일반산업단지,(주)감성플랜,그 외 기타 달리 분류되지 않은 제품 제조업 외 3 종,
센텀시티일반산업단지,(주)강봉천흡선 센텀지점,제품 디자인업,
센텀시티일반산업단지,(주)강산,도시계획 및 조경설계 서비스업,
센텀시티일반산업단지,(주)갭스앤디컴퍼니,경 인쇄업 외 4 종,
센텀시티일반산업단지,(주)건우엔지니어링건축사사무소,건축설계 및 관련 서비스업,
센텀시티일반산업단지,(주)건축사사무소앙코르,건축설계 및 관련 서비스업,
센텀시티일반산업단지,(주)건호엔지니어링,기타 엔지니어링 서비스업,
센텀시티일반산업단지,(주)경국,기타 엔지니어링 서비스업,
센텀시티일반산업단지,(주)경남종합조경건설,도시계획 및 조경설계 서비스업,
센텀시티일반산업단지,(주)경우머트리얼,기타 엔지니어링 서비스업,
센텀시티일반산업단지,(주)경인건축사사무소,건축설계 및 관련 서비스업,
센텀시티일반산업단지,(주)경한이앤씨,기타 엔지니어링 서비스업,
센텀시티일반산업단지,(주)골든블루,제조업 회사 본부,
센텀시티일반산업단지,(주)골든컴퍼스,경영 컨설팅업,
센텀시티일반산업단지,(주)곳간 센텀시티,응용 소프트웨어 개발 및 공급업 외 1 종,
센텀시티일반산업단지,(주)공간몬스터,응용 소프트웨어 개발 및 공급업,
센텀시티일반산업단지,(주)공간조경,도시계획 및 조경설계 서비스업,
센텀시티일반산업단지,(주)공백에스앤엠,광고 대행업,
센텀시티일반산업단지,(주)광일하이텍,건물 및 토목 엔지니어링 서비스업,
센텀시티일반산업단지,(주)교동,응용 소프트웨어 개발 및 공급업,
센텀시티일반산업단지,(주)구상설계종합건축사사무소,건축설계 및 관련 서비스업,
센텀시티일반산업단지,(주)구연건축사사무소,건축설계 및 관련 서비스업,
센텀시티일반산업단지,(주)그래코퍼레이션,광고 대행업,
센텀시티일반산업단지,(주)그룹한 어소시에이트,"패션, 섬유류 및 기타 전문 디자인업",
센텀시티일반산업단지,(주)그린마리타임,기타 엔지니어링 서비스업,
센텀시티일반산업단지,(주)그린브릿지,기타 엔지니어링 서비스업,
센텀시티일반산업단지,(주)그린스토어,경영 컨설팅업,
센텀시티일반산업단지,(주)그린에스엠,기타 엔지니어링 서비스업,
센텀시티일반산업단지,(주)그린오일,기타 엔지니어링 서비스업,
센텀시티일반산업단지,(주)그린전산,제조업 회사 본부,
센텀시티일반산업단지,(주)그린테크시스템,경영 컨설팅업,
센텀시티일반산업단지,(주)그린테크아이앤씨,"물질 검사, 측정 및 분석기구 제조업 외 1 종",
센텀시티일반산업단지,(주)글로벌금융판매,응용 소프트웨어 개발 및 공급업,
센텀시티일반산업단지,(주)글로벌씰링시스템,제품 디자인업,
센텀시티일반산업단지,(주)글로벌얼라이언스,데이터베이스 및 온라인정보 제공업 외 2 종,
센텀시티일반산업단지,(주)글로벌엔씨,"레이더, 항행용 무선기기 및 측량기구 제조업 외 5 종",
센텀시티일반산업단지,(주)글로벌타이드,번역 및 통역 서비스업,
센텀시티일반산업단지,(주)금양통신,경영 컨설팅업,
센텀시티일반산업단지,(주)금해종합건설,도시계획 및 조경설계 서비스업,
센텀시티일반산업단지,(주)금호테크,기타 엔지니어링 서비스업,
센텀시티일반산업단지,(주)금화이엔지,기타 엔지니어링 서비스업,
센텀시티일반산업단지,(주)기독교복음방송,응용 소프트웨어 개발 및 공급업,
센텀시티일반산업단지,(주)길민건설,도시계획 및 조경설계 서비스업,
센텀시티일반산업단지,(주)김목수이야기,인테리어 디자인업,
센텀시티일반산업단지,(주)까뮤디자인,인테리어 디자인업,
센텀시티일반산업단지,(주)깜인메이드,비주거용 건물 임대업,
센텀시티일반산업단지,(주)나스,응용 소프트웨어 개발 및 공급업,
센텀시티일반산업단지,(주)나우이엔지건축사사무소,건물 및 토목 엔지니어링 서비스업 외 1 종,
센텀시티일반산업단지,(주)나원에듀케이션 센텀그린타워,비주거용 건물 임대업,
센텀시티일반산업단지,(주)나음(해운대),비주거용 건물 임대업,
센텀시티일반산업단지,(주)나이스에너지,기타 엔지니어링 서비스업,
센텀시티일반산업단지,(주)나이스에너지엔지니어링,기타 엔지니어링 서비스업,
센텀시티일반산업단지,(주)나진씨앤디,경영 컨설팅업,
센텀시티일반산업단지,(주)네오플레닝,광고 대행업,
센텀시티일반산업단지,(주)네트컴정보통신,기타 산업 회사 본부,
센텀시티일반산업단지,(주)넥스트스테이지,기타 게임 소프트웨어 개발 및 공급업,
센텀시티일반산업단지,(주)넵튠엔지니어링,기타 엔지니어링 서비스업,
센텀시티일반산업단지,(주)노버스메이,응용 소프트웨어 개발 및 공급업,
센텀시티일반산업단지,(주)누리앤소방전기안전,기타 엔지니어링 서비스업,
센텀시티일반산업단지,(주)뉴라이즌,기타 산업 회사 본부,
센텀시티일반산업단지,(주)뉴텍,제품 디자인업,
센텀시티일반산업단지,(주)늘푸른정보기술,컴퓨터 제조업 외 1 종,
센텀시티일반산업단지,(주)니더,응용 소프트웨어 개발 및 공급업,
센텀시티일반산업단지,(주)니즈텔레콤,응용 소프트웨어 개발 및 공급업,
센텀시티일반산업단지,(주)다리스,데이터베이스 및 온라인정보 제공업 외 2 종,
센텀시티일반산업단지,(주)다솜케어,경영 컨설팅업 외 1 종,
