ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDLCPO25N000127761,장소,문화시설,23691851,GS25,창원스포츠파크점,,90702,GS25,4.81231e+18,경상남도,창원시성산구,중앙동,,1,4812312500,4812352000,481232000000.0,원이대로,450,128.6699136,35.2318872,마라064935,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000127762,장소,문화시설,23691853,GS25,창원윙스학원점,,90702,GS25,4.81211e+18,경상남도,창원시의창구,중동,,782-1,4812110200,4812151000,481213000000.0,중동북로,23,128.627166,35.2580801,마라025964,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000127763,장소,문화시설,23691855,GS25,토월한마음점,,90702,GS25,4.81231e+18,경상남도,창원시성산구,상남동,,Jan-44,4812312700,4812353000,481233000000.0,동산로,115,128.6894123,35.2193717,마라082922,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000127764,장소,문화시설,23691856,GS25,합성햇살점,,90702,GS25,4.81271e+18,경상남도,창원시마산회원구,합성동,,340-25,4812710600,4812759000,481275000000.0,양덕천길,160,128.5895088,35.2353427,라라991938,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000127765,장소,문화시설,23691857,GS25,39사단충무부대점,,90702,GS25,4.87303e+18,경상남도,함안군,군북면,소포리,1648,4873032023,4873032000,487305000000.0,장신골길,70,128.3524266,35.2583709,라라775962,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000127766,장소,문화시설,23691858,GS25,칠원공단점,,90702,GS25,4.87303e+18,경상남도,함안군,칠원읍,무기리,939-6,4873025328,4873025300,487305000000.0,동대이길,20,128.533327,35.296598,라마939006,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000127767,장소,문화시설,23691860,GS25,함양군청점,,90702,GS25,4.88703e+18,경상남도,함양군,함양읍,운림리,107-4,4887025021,4887025000,488703000000.0,고운로,23,127.7240081,35.5198772,라마203249,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000127768,장소,문화시설,23691861,GS25,함양터미널점,,90702,GS25,4.88703e+18,경상남도,함양군,함양읍,용평리,673-3,4887025022,4887025000,488703000000.0,한들로,153,127.7326568,35.5205822,라마210249,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000127964,장소,문화시설,23697396,이마트24,학장우성점,,90710,이마트24,2.65301e+18,부산광역시,사상구,학장동,,566,2653010700,2653067000,265302000000.0,학감대로,107,128.9887166,35.1407578,마라356838,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128000,장소,문화시설,23703223,세븐일레븐,김해진영부곡점,,90701,세븐일레븐,4.82503e+18,경상남도,김해시,진영읍,진영리,553-18,4825025026,4825025000,482505000000.0,진영로50번길,6,128.7186198,35.3040244,마마107016,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128014,장소,문화시설,23704701,이마트24,영도영선점,,90710,이마트24,2.62001e+18,부산광역시,영도구,영선동3가,,Jan-34,2620011000,2620055000,262004000000.0,절영로101번길,22,129.0411482,35.0870602,마라404779,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128029,장소,문화시설,23708957,이마트24,하단강변점,,90710,이마트24,2.63801e+18,부산광역시,사하구,하단동,,897-1,2638010300,2638056100,263803000000.0,하신번영로,266-1,128.9586356,35.1047341,마라329798,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128052,장소,문화시설,23713325,이마트24,다대푸르지오점,,90710,이마트24,2.63801e+18,부산광역시,사하구,다대동,,1667,2638010600,2638060100,263803000000.0,윤공단로,123,128.9746474,35.0610998,마라344749,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128074,장소,문화시설,23717677,GS25,화전프레시점,,90702,GS25,2.64401e+18,부산광역시,강서구,화전동,,568-11,2644011000,2644056000,264404000000.0,화전산단4로6번길,25-25,128.8802005,35.1099714,마라257802,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128075,장소,문화시설,23717678,GS25,사직석사로점,,90702,GS25,2.62601e+18,부산광역시,동래구,사직동,,Jan-77,2626010900,2626058000,262603000000.0,석사로,18,129.0618459,35.1984686,마라421903,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
