DAN_ID,DAN_NAME,SIGUNGU_CD,SIGUNGU_NM,TYPE,환경오염물질_배출사업장수,낙후도지수,공항거리,항만거리,고속도로거리,화물역거리,univ_count,연구소전담부서,mart_count,store_count,hospital_count,pharmacy_count,subway_count,bus_count,BUFFER_M,낙후도지수_norm,공항거리_norm,항만거리_norm,고속도로거리_norm,화물역거리_norm,환경오염물질_배출사업장수_norm,연구소전담부서_norm,mart_count_norm,bus_count_norm,hospital_count_norm,pharmacy_count_norm,subway_count_norm,store_count_norm,univ_count_norm
326050,금곡,21080,북구,구,87,0.769,10.73232901,19.91077345,1.812370796,6.083906624,0.0,43,2.0,48.0,1.0,34.0,4.0,243,3000,0.0,0.8642078722511374,0.7902012111640608,0.9412129068169167,0.940040807551872,0.001914975105323631,0.03902439024390244,0.08,0.21641791044776118,0.05,0.19101123595505617,0.3076923076923077,0.15841584158415842,0.0
226040,센텀시티,21090,해운대구,구,192,0.769,17.12529946,13.89962613,4.866338005,8.42355652,2.0,362,23.0,303.0,14.0,178.0,13.0,591,3000,0.0,0.7782804581500048,0.8570456790935391,0.822940501958336,0.9151391644096275,0.022022213711221757,0.35024390243902437,0.92,0.5874200426439232,0.7000000000000001,1.0,1.0,1.0,0.08333333333333333
326060,센텀2,21090,해운대구,구,192,0.769,18.26346029,18.07697659,4.95009874,12.1536317,12.0,362,9.0,95.0,4.0,87.0,6.0,362,3000,0.0,0.762982527756302,0.8105931877488982,0.8196966611168307,0.8754387796704814,0.022022213711221757,0.35024390243902437,0.36,0.34328358208955223,0.2,0.4887640449438202,0.46153846153846156,0.31353135313531355,0.5
226030,신평·장림,21100,사하구,구,963,0.769,10.71400473,5.602722137,7.736177018,8.583155971,0.0,234,20.0,185.0,18.0,110.0,9.0,580,3000,0.0,0.8644541674605365,0.9493079550535384,0.7117989151645383,0.9134404963391206,0.16966679433167367,0.2253658536585366,0.8,0.5756929637526653,0.9,0.6179775280898876,0.6923076923076923,0.6105610561056106,0.0
226140,산양,21100,사하구,구,963,0.769,12.42225402,6.746257572,9.549658561,10.79161566,0.0,234,10.0,88.0,7.0,51.0,7.0,403,3000,0.0,0.8414937228162482,0.9365917440472376,0.6415673741626652,0.8899351525851121,0.16966679433167367,0.2253658536585366,0.4,0.38699360341151384,0.35000000000000003,0.28651685393258425,0.5384615384615385,0.29042904290429045,0.0
226032,신평.장림(협업),21100,사하구,구,963,0.769,12.30353094,7.030178105,9.455096031,10.9760914,1.0,234,10.0,82.0,6.0,47.0,7.0,375,3000,0.0,0.8430894704171966,0.9334345236444876,0.6452295411301598,0.8879717182038677,0.16966679433167367,0.2253658536585366,0.4,0.3571428571428571,0.30000000000000004,0.2640449438202247,0.5384615384615385,0.2706270627062706,0.041666666666666664
226031,신평.장림(기존),21100,사하구,구,963,0.769,10.49724529,5.905266354,7.530742937,8.741107062,1.0,234,19.0,182.0,18.0,107.0,9.0,550,3000,0.0,0.8673676140823975,0.9459436377054641,0.7197548561216576,0.9117593722919994,0.16966679433167367,0.2253658536585366,0.76,0.5437100213219617,0.9,0.601123595505618,0.6923076923076923,0.6006600660066007,0.041666666666666664
326010,회동·석대,21110,금정구,구,233,0.769,18.10025997,19.34894867,3.176948537,13.11235684,17.0,143,2.0,58.0,3.0,42.0,6.0,244,3000,0.0,0.7651760904495376,0.7964487503590736,0.8883662716045477,0.865234760962984,0.02987361164304864,0.13658536585365855,0.08,0.21748400852878466,0.15000000000000002,0.23595505617977527,0.46153846153846156,0.19141914191419143,0.7083333333333333
226330,부산연구개발,21120,강서구,구,874,0.769,3.492591938,15.73711754,2.016752919,11.76765406,0.0,872,2.0,30.0,1.0,7.0,8.0,268,3000,0.0,0.9615166100647252,0.8366126187994126,0.9332977055252736,0.8795468633066691,0.15262351589429335,0.8478048780487805,0.08,0.24307036247334754,0.05,0.03932584269662921,0.6153846153846154,0.09900990099009901,0.0
226100,미음,21120,강서구,구,874,0.769,8.173416385,12.07400827,3.917318056,3.107430614,0.0,872,0.0,40.0,0.0,3.0,0.0,239,3000,0.0,0.8986020160215018,0.8773467045048167,0.8596936377799058,0.971720394976123,0.15262351589429335,0.8478048780487805,0.0,0.21215351812366737,0.0,0.016853932584269662,0.0,0.132013201320132,0.0
226300,지사글로벌,21120,강서구,구,874,0.769,11.44274825,10.62470559,5.656674741,4.148845743,0.0,872,1.0,35.0,2.0,15.0,0.0,177,3000,0.0,0.8546591829996656,0.8934630732038568,0.7923327645408118,0.9606362802333023,0.15262351589429335,0.8478048780487805,0.04,0.14605543710021324,0.1,0.08426966292134831,0.0,0.11551155115511551,0.0
226012,부산과학(외국인),21120,강서구,구,874,0.769,11.57943397,10.95801919,5.174950609,4.682510879,0.0,872,1.0,45.0,2.0,19.0,0.0,232,3000,0.0,0.8528220009641767,0.8897565977076517,0.8109887184757948,0.9549563112786097,0.15262351589429335,0.8478048780487805,0.04,0.2046908315565032,0.1,0.10674157303370786,0.0,0.1485148514851485,0.0
226130,성우,21120,강서구,구,874,0.769,10.67516886,10.53093834,6.330535174,3.125947699,0.0,872,0.0,22.0,0.0,5.0,0.0,158,3000,0.0,0.8649761573413857,0.8945057729750979,0.7662358589436978,0.9715233117101638,0.15262351589429335,0.8478048780487805,0.0,0.1257995735607676,0.0,0.028089887640449437,0.0,0.07260726072607261,0.0
126011,명지·녹산(녹산),21120,강서구,구,874,0.769,12.49588918,7.538340841,8.749742086,1.938246031,0.0,872,0.0,44.0,2.0,8.0,0.0,417,3000,0.0,0.8405039984095409,0.9277837109291692,0.6725461105765467,0.9841644009374659,0.15262351589429335,0.8478048780487805,0.0,0.4019189765458422,0.1,0.0449438202247191,0.0,0.14521452145214522,0.0
226280,정주,21120,강서구,구,874,0.769,10.54296627,11.47269632,5.210054656,4.303646407,0.0,872,1.0,45.0,2.0,17.0,0.0,239,3000,0.0,0.8667530819783786,0.8840333443786482,0.8096292277626256,0.9589886871897015,0.15262351589429335,0.8478048780487805,0.04,0.21215351812366737,0.1,0.09550561797752809,0.0,0.1485148514851485,0.0
226020,신호,21120,강서구,구,874,0.769,11.07821305,9.980614752,8.123183252,4.021417739,0.0,872,0.0,65.0,5.0,20.0,0.0,405,3000,0.0,0.8595588720143144,0.9006254179397969,0.6968111452056622,0.9619925372901215,0.15262351589429335,0.8478048780487805,0.0,0.38912579957356075,0.25,0.11235955056179775,0.0,0.21452145214521454,0.0
226090,화전,21120,강서구,구,874,0.769,9.908436011,10.67929616,6.850906366,3.448737252,0.0,872,0.0,56.0,3.0,12.0,0.0,394,3000,0.0,0.875281753391961,0.8928560214363055,0.7460832023874676,0.9680877591206105,0.15262351589429335,0.8478048780487805,0.0,0.37739872068230274,0.15000000000000002,0.06741573033707865,0.0,0.18481848184818483,0.0
226210,부산명동,21120,강서구,구,874,0.769,9.775103512,11.24472421,5.43038842,3.20036986,0.0,872,0.0,25.0,0.0,5.0,0.0,199,3000,0.0,0.877073865047148,0.886568413573344,0.8010962598699035,0.9707312128161092,0.15262351589429335,0.8478048780487805,0.0,0.1695095948827292,0.0,0.028089887640449437,0.0,0.08250825082508251,0.0
226011,부산과학(산업),21120,강서구,구,874,0.769,10.76881646,10.77669365,5.958340567,3.600958584,0.0,872,0.0,25.0,0.0,9.0,0.0,159,3000,0.0,0.8637174472992054,0.8917729530884287,0.7806500121525329,0.966467618733546,0.15262351589429335,0.8478048780487805,0.0,0.12686567164179105,0.0,0.05056179775280899,0.0,0.08250825082508251,0.0
